target,candidate,members,weights,r2
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.0,0.2,0.8",0.5690071261675094
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.0,0.3,0.7",0.6352610656044857
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.0,0.4,0.6",0.693040386156013
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.0,0.5,0.5",0.7423450878220916
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.0,0.6,0.4",0.7831751706027212
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.0,0.7,0.3",0.8155306344979019
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.0,0.8,0.2",0.8394114795076337
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.0,0.9,0.1",0.8548177056319168
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.0,1.0,0.0",0.861749312870751
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.1,0.0,0.9",0.4448056114312523
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.1,0.1,0.8",0.5245888187108223
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.1,0.2,0.7",0.5958974071049434
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.1,0.3,0.6",0.6587313766136158
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.1,0.4,0.5",0.7130907272368392
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.1,0.5,0.4",0.7589754589746137
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.1,0.6,0.3",0.7963855718269395
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.1,0.7,0.2",0.8253210657938163
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.1,0.8,0.1",0.8457819408752442
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.1,0.9,0.0",0.8577681970712232
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.2,0.0,0.8",0.47603238531403813
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.2,0.1,0.7",0.5523956226653042
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.2,0.2,0.6",0.6202842411311213
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.2,0.3,0.5",0.6796982407114895
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.2,0.4,0.4",0.7306376214064092
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.2,0.5,0.3",0.7731023832158798
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.2,0.6,0.2",0.8070925261399015
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.2,0.7,0.1",0.8326080501784744
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.2,0.8,0.0",0.8496489553315983
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.3,0.0,0.7",0.5047557122855675
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.3,0.1,0.6",0.5776989797085297
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.3,0.2,0.5",0.6421676282460429
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.3,0.3,0.4",0.6981616578981074
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.3,0.4,0.3",0.7456810686647228
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.3,0.5,0.2",0.7847258605458896
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.3,0.6,0.1",0.8152960335416073
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.3,0.7,0.0",0.8373915876518763
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.4,0.0,0.6",0.5309755923458409
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.4,0.1,0.5",0.600498889840499
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.4,0.2,0.4",0.6615475684497083
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.4,0.3,0.3",0.7141216281734688
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.4,0.4,0.2",0.7582210690117804
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.4,0.5,0.1",0.7938458909646432
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.4,0.6,0.0",0.8209960940320571
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.5,0.0,0.5",0.554692025494858
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.5,0.1,0.4",0.6207953530612123
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.5,0.2,0.3",0.6784240617421177
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.5,0.3,0.2",0.7275781515375741
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.5,0.4,0.1",0.7682576224475818
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.5,0.5,0.0",0.8004624744721407
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.6,0.0,0.4",0.575905011732619
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.6,0.1,0.3",0.6385883693706693
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.6,0.2,0.2",0.6927971081232708
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.6,0.3,0.1",0.7385312279904234
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.6,0.4,0.0",0.7757907289721271
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.7,0.0,0.3",0.5946145510591238
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.7,0.1,0.2",0.6538779387688702
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.7,0.2,0.1",0.7046667075931676
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.7,0.3,0.0",0.7469808575320163
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.8,0.0,0.2",0.6108206434743723
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.8,0.1,0.1",0.6666640612558148
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.8,0.2,0.0",0.7140328601518084
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.9,0.0,0.1",0.6245232889783647
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","0.9,0.1,0.0",0.6769467368315033
Q0_TOTAL_LIABILITIES,B1+B2+B3,"B1,B2,B3","1.0,0.0,0.0",0.6357224875711011
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1,B1,1.0,-0.144362062419078
Q0_TOTAL_STOCKHOLDERS_EQUITY,B2,B2,1.0,-0.06439975623387961
Q0_TOTAL_STOCKHOLDERS_EQUITY,B3,B3,1.0,-0.1688259311915059
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2,"B1,B2","0.0,1.0",-0.06439975623387961
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2,"B1,B2","0.1,0.9",-0.05852154227355455
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2,"B1,B2","0.2,0.8",-0.055726538219639465
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2,"B1,B2","0.3,0.7",-0.05601474407213436
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2,"B1,B2","0.4,0.6",-0.05938615983103923
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2,"B1,B2","0.5,0.5",-0.06584078549635408
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2,"B1,B2","0.6,0.4",-0.07537862106807891
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2,"B1,B2","0.7,0.3",-0.08799966654621394
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2,"B1,B2","0.8,0.2",-0.10370392193075828
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2,"B1,B2","0.9,0.1",-0.12249138722171304
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2,"B1,B2","1.0,0.0",-0.144362062419078
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B3,"B1,B3","0.0,1.0",-0.1688259311915059
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B3,"B1,B3","0.1,0.9",-0.1646549883771382
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B3,"B1,B3","0.2,0.8",-0.1608672802154658
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B3,"B1,B3","0.3,0.7",-0.15746280670648694
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B3,"B1,B3","0.4,0.6",-0.15444156785020247
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B3,"B1,B3","0.5,0.5",-0.15180356364661263
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B3,"B1,B3","0.6,0.4",-0.14954879409571675
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B3,"B1,B3","0.7,0.3",-0.14767725919751595
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B3,"B1,B3","0.8,0.2",-0.14618895895200867
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B3,"B1,B3","0.9,0.1",-0.14508389335919625
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B3,"B1,B3","1.0,0.0",-0.144362062419078
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.0,0.0,1.0",-0.1688259311915059
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.0,0.1,0.9",-0.14020069432097082
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.0,0.2,0.8",-0.1156160395337189
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.0,0.3,0.7",-0.09507196682974905
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.0,0.4,0.6",-0.07856847620906215
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.0,0.5,0.5",-0.0661055676716582
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.0,0.6,0.4",-0.057683241217536985
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.0,0.7,0.3",-0.05330149684669849
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.0,0.8,0.2",-0.05296033455914251
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.0,0.9,0.1",-0.05665975435486992
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.0,1.0,0.0",-0.06439975623387961
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.1,0.0,0.9",-0.1646549883771382
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.1,0.1,0.8",-0.13670005492138726
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.1,0.2,0.7",-0.11278570354891837
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.1,0.3,0.6",-0.09291193425973243
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.1,0.4,0.5",-0.07707874705382922
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.1,0.5,0.4",-0.06528614193120874
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.1,0.6,0.3",-0.05753411889187099
Q0_TOTAL_STOCKHOLDERS_EQUITY,B1+B2+B3,"B1,B2,B3","0.1,0.7,0.2",-0.053822677935815966
