target,stage,members,weights,r2
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.45,0.35,0.20",0.6579536016581935
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.45,0.40,0.15",0.6589501825863524
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.45,0.45,0.10",0.6590012668106093
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.45,0.50,0.05",0.6581068543309647
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.45,0.55,0.00",0.6562669451474181
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.50,0.00,0.50",0.6188139300916242
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.50,0.05,0.45",0.6264855105236935
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.50,0.10,0.40",0.633211594251861
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.50,0.15,0.35",0.6389921812761268
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.50,0.20,0.30",0.6438272715964906
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.50,0.25,0.25",0.6477168652129528
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.50,0.30,0.20",0.6506609621255132
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.50,0.35,0.15",0.6526595623341718
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.50,0.40,0.10",0.6537126658389285
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.50,0.45,0.05",0.6538202726397835
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.50,0.50,0.00",0.6529823827367369
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.55,0.00,0.45",0.6130664802192702
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.55,0.05,0.40",0.6207945832279373
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.55,0.10,0.35",0.6275771895327028
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.55,0.15,0.30",0.6334142991335665
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.55,0.20,0.25",0.6383059120305283
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.55,0.25,0.20",0.6422520282235884
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.55,0.30,0.15",0.6452526477127467
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.55,0.35,0.10",0.6473077704980033
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.55,0.40,0.05",0.648417396579358
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.55,0.45,0.00",0.6485815259568111
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.60,0.00,0.40",0.6072612778347695
